Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_104_483,VGND,li1,229.5400,293.7600,0.000218
FILLER_104_477,VGND,li1,225.6300,293.7600,0.000214
FILLER_104_472,VGND,li1,223.5600,293.7600,0.000210
FILLER_104_428,VGND,li1,202.6300,293.7600,0.000148
FILLER_104_424,VGND,li1,201.4800,293.7600,0.000148
FILLER_104_412,VGND,li1,195.2700,293.7600,0.000126
FILLER_104_393,VGND,li1,186.9900,293.7600,0.000097
FILLER_104_385,VGND,li1,184.4600,293.7600,0.000084
FILLER_104_371,VGND,li1,176.4100,293.7600,0.000076
FILLER_104_365,VGND,li1,174.8000,293.7600,0.000082
FILLER_104_362,VGND,li1,172.5000,293.7600,0.000090
FILLER_104_347,VGND,li1,165.8300,293.7600,0.000116
FILLER_104_316,VGND,li1,151.3400,293.7600,0.000146
FILLER_104_284,VGND,li1,138.0000,293.7600,0.000142
FILLER_104_261,VGND,li1,126.0400,293.7600,0.000136
FILLER_104_253,VGND,li1,123.7400,293.7600,0.000133
FILLER_104_251,VGND,li1,121.2100,293.7600,0.000131
FILLER_104_247,VGND,li1,120.0600,293.7600,0.000131
FILLER_104_234,VGND,li1,114.5400,293.7600,0.000126
FILLER_104_221,VGND,li1,107.6400,293.7600,0.000120
FILLER_104_209,VGND,li1,104.4200,293.7600,0.000117
FILLER_104_203,VGND,li1,99.1300,293.7600,0.000112
FILLER_104_197,VGND,li1,97.5200,293.7600,0.000112
FILLER_104_195,VGND,li1,95.4500,293.7600,0.000110
FILLER_104_183,VGND,li1,92.4600,293.7600,0.000108
FILLER_104_177,VGND,li1,87.4000,293.7600,0.000103
FILLER_104_165,VGND,li1,84.1800,293.7600,0.000097
FILLER_104_153,VGND,li1,78.6600,293.7600,0.000091
FILLER_104_141,VGND,li1,73.1400,293.7600,0.000083
FILLER_104_139,VGND,li1,69.6900,293.7600,0.000076
FILLER_104_133,VGND,li1,68.0800,293.7600,0.000076
FILLER_104_121,VGND,li1,63.9400,293.7600,0.000070
FILLER_104_109,VGND,li1,58.4200,293.7600,0.000060
FILLER_104_97,VGND,li1,52.9000,293.7600,0.000054
FILLER_104_85,VGND,li1,47.3800,293.7600,0.000046
FILLER_104_83,VGND,li1,43.9300,293.7600,0.000039
FILLER_104_77,VGND,li1,42.3200,293.7600,0.000039
FILLER_104_65,VGND,li1,38.1800,293.7600,0.000033
FILLER_104_53,VGND,li1,32.6600,293.7600,0.000025
FILLER_104_41,VGND,li1,27.1400,293.7600,0.000017
FILLER_104_29,VGND,li1,21.6200,293.7600,0.000014
FILLER_104_27,VGND,li1,18.1700,293.7600,0.000014
FILLER_104_15,VGND,li1,15.1800,293.7600,0.000014
FILLER_104_3,VGND,li1,9.6600,293.7600,0.000014
FILLER_103_629,VGND,li1,296.7000,293.7600,0.000274
FILLER_103_617,VGND,li1,292.1000,293.7600,0.000274
FILLER_103_608,VGND,li1,287.0400,293.7600,0.000274
FILLER_103_596,VGND,li1,282.4400,293.7600,0.000274
FILLER_103_584,VGND,li1,276.9200,293.7600,0.000274
FILLER_103_575,VGND,li1,270.2500,293.7600,0.000274
FILLER_103_568,VGND,li1,267.2600,293.7600,0.000273
FILLER_103_561,VGND,li1,264.5000,293.7600,0.000271
FILLER_103_554,VGND,li1,261.7400,293.7600,0.000269
FILLER_103_532,VGND,li1,250.7000,293.7600,0.000257
FILLER_103_519,VGND,li1,244.4900,293.7600,0.000244
FILLER_103_513,VGND,li1,242.8800,293.7600,0.000244
FILLER_103_505,VGND,li1,238.0500,293.7600,0.000233
FILLER_103_502,VGND,li1,236.9000,293.7600,0.000233
FILLER_103_493,VGND,li1,232.7600,293.7600,0.000226
FILLER_103_485,VGND,li1,230.4600,293.7600,0.000222
FILLER_103_479,VGND,li1,226.5500,293.7600,0.000214
FILLER_103_457,VGND,li1,216.2000,293.7600,0.000194
FILLER_103_437,VGND,li1,207.2300,293.7600,0.000168
FILLER_103_430,VGND,li1,203.7800,293.7600,0.000156
FILLER_103_423,VGND,li1,200.5600,293.7600,0.000139
FILLER_103_408,VGND,li1,193.4300,293.7600,0.000116
FILLER_103_398,VGND,li1,189.0600,293.7600,0.000104
FILLER_103_389,VGND,li1,185.1500,293.7600,0.000090
FILLER_103_369,VGND,li1,175.7200,293.7600,0.000082
FILLER_103_342,VGND,li1,164.6800,293.7600,0.000116
FILLER_103_334,VGND,li1,159.6200,293.7600,0.000131
FILLER_103_318,VGND,li1,152.4900,293.7600,0.000146
FILLER_103_313,VGND,li1,149.9600,293.7600,0.000145
FILLER_103_306,VGND,li1,146.9700,293.7600,0.000144
FILLER_103_298,VGND,li1,144.4400,293.7600,0.000144
FILLER_103_281,VGND,li1,137.5400,293.7600,0.000142
FILLER_103_277,VGND,li1,133.6300,293.7600,0.000141
FILLER_103_269,VGND,li1,131.1000,293.7600,0.000140
FILLER_103_257,VGND,li1,126.5000,293.7600,0.000136
FILLER_103_253,VGND,li1,122.1300,293.7600,0.000133
FILLER_103_247,VGND,li1,120.5200,293.7600,0.000131
FILLER_103_212,VGND,li1,103.5000,293.7600,0.000117
FILLER_103_204,VGND,li1,101.2000,293.7600,0.000115
FILLER_103_192,VGND,li1,96.6000,293.7600,0.000110
FILLER_103_169,VGND,li1,83.7200,293.7600,0.000097
FILLER_103_167,VGND,li1,82.5700,293.7600,0.000094
FILLER_103_161,VGND,li1,80.9600,293.7600,0.000094
FILLER_103_149,VGND,li1,76.8200,293.7600,0.000088
FILLER_103_137,VGND,li1,71.3000,293.7600,0.000079
FILLER_103_125,VGND,li1,65.7800,293.7600,0.000072
FILLER_103_113,VGND,li1,60.2600,293.7600,0.000065
FILLER_103_111,VGND,li1,56.8100,293.7600,0.000057
FILLER_103_105,VGND,li1,55.2000,293.7600,0.000057
FILLER_103_93,VGND,li1,51.0600,293.7600,0.000051
FILLER_103_81,VGND,li1,45.5400,293.7600,0.000042
FILLER_103_69,VGND,li1,40.0200,293.7600,0.000036
FILLER_103_57,VGND,li1,34.5000,293.7600,0.000028
FILLER_103_55,VGND,li1,31.0500,293.7600,0.000021
FILLER_103_51,VGND,li1,29.9000,293.7600,0.000021
FILLER_103_39,VGND,li1,26.2200,293.7600,0.000014
FILLER_103_27,VGND,li1,20.7000,293.7600,0.000014
FILLER_103_15,VGND,li1,15.1800,293.7600,0.000014
FILLER_103_3,VGND,li1,9.6600,293.7600,0.000014
FILLER_102_625,VGND,li1,295.7800,288.3200,0.000190
FILLER_102_613,VGND,li1,290.2600,288.3200,0.000190
FILLER_102_601,VGND,li1,284.7400,288.3200,0.000190
FILLER_102_589,VGND,li1,279.2200,288.3200,0.000190
FILLER_102_586,VGND,li1,275.5400,288.3200,0.000190
FILLER_102_578,VGND,li1,273.2400,288.3200,0.000190
FILLER_102_573,VGND,li1,269.5600,288.3200,0.000188
