net,length_um
_2119_,14.94µm
dsp.u_mac.acc_reg\[20\],14.94µm
_1454_,14.9µm
_0376_,14.88µm
_1260_,14.88µm
_1859_,14.88µm
_0966_,14.87µm
_1886_,14.84µm
_1437_,14.8µm
_1662_,14.78µm
_2172_,14.77µm
_0563_,14.76µm
_1221_,14.76µm
_1416_,14.76µm
_1665_,14.76µm
_1088_,14.74µm
_2487_,14.74µm
_2412_,14.72µm
_3009_,14.715µm
_2136_,14.7µm
_1445_,14.65µm
_0638_,14.64µm
_1302_,14.64µm
core.inst_addr_out\[5\],14.64µm
_1446_,14.62µm
_0991_,14.6µm
_1697_,14.6µm
_2713_,14.6µm
_0955_,14.58µm
net17,14.58µm
_0852_,14.56µm
_1013_,14.56µm
_1747_,14.56µm
monitor_out[28],14.56µm
_2904_,14.54µm
_1672_,14.5µm
_1177_,14.48µm
_1786_,14.48µm
_2473_,14.48µm
_2289_,14.46µm
_1729_,14.44µm
_0319_,14.42µm
_0370_,14.42µm
_0867_,14.42µm
_1625_,14.42µm
_0430_,14.4µm
_0158_,14.38µm
_0608_,14.38µm
_0979_,14.38µm
_1999_,14.38µm
_0321_,14.365µm
_1217_,14.34µm
_2916_,14.32µm
_1560_,14.3µm
core.inst_addr_out\[8\],14.3µm
net314,14.3µm
_1828_,14.295µm
_0455_,14.26µm
_2438_,14.26µm
core.dsp_result_in\[16\],14.26µm
_2424_,14.22µm
_1109_,14.18µm
_1571_,14.18µm
_2871_,14.18µm
_0494_,14.16µm
_1252_,14.14µm
_2657_,14.14µm
_0209_,14.12µm
_0526_,14.12µm
_0713_,14.12µm
_0178_,14.105µm
dsp.u_mac.acc_reg\[10\],14.1µm
_2037_,14.09µm
_0285_,14.08µm
_0721_,14.08µm
_1524_,14.08µm
_2669_,14.08µm
_2823_,14.08µm
core.inst_addr_out\[17\],14.06µm
_2908_,14.055µm
_0846_,14.02µm
_1026_,14.02µm
_1962_,14µm
core.inst_addr_out\[6\],14µm
_2450_,13.96µm
_2529_,13.96µm
core.inst_addr_out\[15\],13.96µm
_2758_,13.94µm
_2194_,13.92µm
_2818_,13.92µm
_1553_,13.885µm
_0670_,13.88µm
_3018_,13.88µm
_1237_,13.875µm
_1337_,13.84µm
_0374_,13.82µm
_0448_,13.82µm
_0652_,13.8µm
_0368_,13.78µm
_0866_,13.78µm
_0612_,13.74µm
_0411_,13.72µm
_1572_,13.72µm
_2182_,13.72µm
monitor_out[24],13.72µm
_1066_,13.7µm
_1345_,13.7µm
_2849_,13.7µm
_0163_,13.68µm
_2253_,13.66µm
_3034_,13.66µm
_0577_,13.64µm
dsp.u_mac.acc_reg\[15\],13.64µm
_0207_,13.62µm
_2946_,13.6µm
_0075_,13.58µm
_1817_,13.58µm
_1264_,13.56µm
_1802_,13.56µm
_1451_,13.54µm
_0327_,13.52µm
_3022_,13.505µm
_0947_,13.5µm
_1425_,13.5µm
_1304_,13.48µm
_1085_,13.475µm
_1651_,13.46µm
_0227_,13.44µm
_2567_,13.43µm
_1144_,13.38µm
_1788_,13.38µm
_1980_,13.38µm
_2960_,13.38µm
_2931_,13.36µm
dsp.u_mac.acc_reg\[7\],13.36µm
_0339_,13.34µm
_2708_,13.32µm
_2807_,13.305µm
_0876_,13.3µm
_3053_,13.3µm
monitor_out[27],13.3µm
_1806_,13.28µm
_1527_,13.26µm
_1556_,13.26µm
_2433_,13.26µm
_0911_,13.24µm
_0463_,13.22µm
_2897_,13.22µm
_0595_,13.2µm
_1495_,13.2µm
_2141_,13.195µm
_1384_,13.18µm
_1730_,13.18µm
_2499_,13.18µm
_1776_,13.16µm
_0599_,13.14µm
_0818_,13.14µm
_2036_,13.12µm
_2155_,13.12µm
_1130_,13.1µm
_1621_,13.1µm
_1725_,13.1µm
_0221_,13.08µm
_0615_,13.08µm
_2077_,13.08µm
_2352_,13.08µm
_0475_,13.06µm
_0687_,13.05µm
_1330_,13.04µm
_2165_,13.04µm
_3050_,13.04µm
net33,13.04µm
_1056_,13µm
_1629_,13µm
_1181_,12.99µm
_1641_,12.99µm
core.inst_addr_out\[4\],12.98µm
_0842_,12.96µm
_0886_,12.96µm
_1282_,12.96µm
_1640_,12.96µm
_1863_,12.96µm
_2011_,12.96µm
_2081_,12.96µm
_2468_,12.96µm
_0190_,12.94µm
_0440_,12.94µm
_2114_,12.94µm
_2455_,12.94µm
core.inst_addr_out\[19\],12.94µm
_0712_,12.92µm
_1626_,12.92µm
core.inst_addr_out\[11\],12.92µm
_0789_,12.905µm
_0637_,12.875µm
_2664_,12.86µm
_0407_,12.84µm
_1114_,12.84µm
_1329_,12.84µm
_2613_,12.84µm
_2676_,12.84µm
_1487_,12.83µm
_1971_,12.83µm
_1483_,12.82µm
_0159_,12.8µm
_1401_,12.78µm
_2563_,12.78µm
_2030_,12.77µm
_2809_,12.76µm
core.u_regfile.registers\[2\]\[0\],12.68µm
_0458_,12.66µm
_1089_,12.66µm
_0711_,12.64µm
_1529_,12.64µm
_2794_,12.64µm
_1096_,12.63µm
_2998_,12.6µm
_0799_,12.58µm
_1170_,12.58µm
core.inst_addr_out\[9\],12.58µm
_0698_,12.56µm
_0722_,12.54µm
_2425_,12.52µm
core.u_fetch.next_pc\[30\],12.52µm
_2043_,12.51µm
_0355_,12.5µm
_0434_,12.5µm
_2076_,12.5µm
_2552_,12.5µm
_2123_,12.46µm
_2770_,12.46µm
_1236_,12.44µm
_0836_,12.42µm
_0937_,12.42µm
_2704_,12.42µm
_1569_,12.4µm
_0380_,12.38µm
_1334_,12.38µm
_2094_,12.38µm
_0618_,12.36µm
_0888_,12.34µm
_0913_,12.34µm
_1215_,12.34µm
_1396_,12.3µm
_1590_,12.3µm
_1689_,12.27µm
_1455_,12.26µm
_2060_,12.26µm
_2064_,12.26µm
_2905_,12.26µm
_2971_,12.26µm
monitor_out[31],12.26µm
_1139_,12.24µm
_0336_,12.22µm
_2528_,12.22µm
_2750_,12.22µm
_0128_,12.2µm
_0248_,12.2µm
_2537_,12.2µm
_0710_,12.18µm
_1957_,12.18µm
_1649_,12.16µm
_2878_,12.16µm
_0785_,12.14µm
_1434_,12.14µm
_0134_,12.12µm
_0660_,12.12µm
_1243_,12.12µm
_1899_,12.12µm
_3043_,12.12µm
net354,12.12µm
_0822_,12.1µm
_1815_,12.1µm
_2997_,12.1µm
_2014_,12.08µm
_0575_,12.06µm
_0050_,12.04µm
_1102_,12.04µm
_2591_,12.04µm
_0556_,12.02µm
_0810_,12.02µm
_3028_,12.02µm
_0900_,12µm
_0928_,12µm
_1273_,12µm
_2171_,12µm
_2551_,12µm
_2428_,11.98µm
_0567_,11.965µm
_2045_,11.96µm
_1790_,11.955µm
_2616_,11.95µm
_3003_,11.94µm
_1044_,11.92µm
_1712_,11.92µm
_1921_,11.92µm
_1974_,11.92µm
_2110_,11.92µm
_1517_,11.9µm
_1630_,11.88µm
_0832_,11.84µm
_1473_,11.84µm
_1998_,11.82µm
_3014_,11.82µm
_1409_,11.8µm
_0255_,11.78µm
_0306_,11.78µm
_0422_,11.78µm
_1953_,11.78µm
_2306_,11.78µm
_2981_,11.78µm
_0905_,11.77µm
_0584_,11.76µm
_0880_,11.76µm
_0909_,11.76µm
_1810_,11.76µm
core.u_regfile.registers\[2\]\[2\],11.76µm
_1988_,11.74µm
_0290_,11.73µm
_0258_,11.72µm
_2749_,11.71µm
_0666_,11.7µm
_1319_,11.7µm
_1388_,11.7µm
_0755_,11.695µm
_2592_,11.69µm
_0243_,11.68µm
_0878_,11.68µm
_1604_,11.68µm
_1594_,11.66µm
_2032_,11.66µm
_2571_,11.66µm
_0651_,11.64µm
_0733_,11.62µm
_1018_,11.62µm
_2397_,11.62µm
_0986_,11.6µm
_2151_,11.58µm
_2948_,11.58µm
_1458_,11.57µm
_1950_,11.56µm
_2127_,11.56µm
_2792_,11.545µm
_0131_,11.54µm
_0620_,11.54µm
_1814_,11.54µm
core.u_regfile.registers\[1\]\[4\],11.54µm
_2577_,11.53µm
_0869_,11.52µm
_2659_,11.52µm
_1646_,11.51µm
_0067_,11.5µm
_2033_,11.48µm
_2861_,11.48µm
_0149_,11.46µm
_0574_,11.46µm
net266,11.46µm
_0480_,11.44µm
_0225_,11.425µm
_1660_,11.42µm
_0533_,11.4µm
_0954_,11.4µm
_1338_,11.4µm
_0491_,11.38µm
_0998_,11.38µm
_0916_,11.34µm
monitor_out[30],11.34µm
_0211_,11.32µm
_0527_,11.32µm
_1362_,11.32µm
_1016_,11.31µm
_0288_,11.3µm
_0304_,11.3µm
_0692_,11.3µm
_1311_,11.3µm
_1682_,11.3µm
_2381_,11.3µm
_2796_,11.3µm
_0688_,11.28µm
_1792_,11.28µm
_2234_,11.28µm
core.dsp_result_in\[11\],11.28µm
_0451_,11.26µm
_2623_,11.26µm
_2814_,11.245µm
_0224_,11.22µm
_0680_,11.22µm
_1131_,11.22µm
_2087_,11.22µm
_2547_,11.22µm
_0875_,11.2µm
_0952_,11.2µm
_1824_,11.2µm
_2480_,11.2µm
_0930_,11.185µm
_1168_,11.18µm
_2427_,11.16µm
_2516_,11.16µm
_2709_,11.16µm
net263,11.16µm
_0102_,11.12µm
_0968_,11.12µm
_1193_,11.12µm
_2457_,11.12µm
core.u_fetch.next_pc\[27\],11.12µm
net28,11.12µm
_1290_,11.1µm
_1841_,11.09µm
_0259_,11.08µm
_0521_,11.08µm
_0549_,11.08µm
_0727_,11.08µm
_2874_,11.08µm
dsp.u_mac.acc_reg\[9\],11.08µm
_0617_,11.06µm
_1230_,11.06µm
_1735_,11.04µm
_2952_,11.04µm
_0780_,11.02µm
_2789_,11.02µm
_1727_,11.01µm
_0597_,11µm
_2574_,11µm
core.u_regfile.registers\[2\]\[4\],11µm
_1138_,10.98µm
_2521_,10.98µm
core.dsp_result_in\[20\],10.98µm
_0823_,10.96µm
_1656_,10.96µm
_2624_,10.94µm
_0172_,10.92µm
_0250_,10.92µm
_0396_,10.92µm
_1503_,10.92µm
_2641_,10.92µm
_1251_,10.91µm
_3024_,10.89µm
_0571_,10.88µm
_2761_,10.88µm
_2976_,10.88µm
_1159_,10.86µm
_1167_,10.86µm
_0303_,10.84µm
_0568_,10.84µm
_0661_,10.84µm
_2065_,10.84µm
net297,10.84µm
_0132_,10.825µm
_0707_,10.82µm
_1452_,10.82µm
_1920_,10.82µm
net294,10.8µm
_2221_,10.78µm
_2512_,10.78µm
core.u_regfile.registers\[2\]\[3\],10.78µm
_1002_,10.76µm
_2925_,10.76µm
_1322_,10.75µm
_0371_,10.74µm
_0469_,10.74µm
_0887_,10.74µm
_1671_,10.74µm
_2522_,10.74µm
_0104_,10.72µm
_0783_,10.72µm
_0444_,10.7µm
_0894_,10.7µm
_1612_,10.7µm
_1515_,10.68µm
_1935_,10.68µm
_2393_,10.68µm
_2469_,10.68µm
_0706_,10.67µm
core.u_fetch.next_pc\[31\],10.66µm
_1923_,10.64µm
_2505_,10.64µm
_2027_,10.63µm
_0389_,10.62µm
_0550_,10.62µm
_0762_,10.62µm
_0843_,10.62µm
_1275_,10.62µm
_1284_,10.62µm
_1821_,10.62µm
_1982_,10.62µm
_2154_,10.62µm
_2326_,10.62µm
_1212_,10.6µm
_0830_,10.59µm
_0701_,10.58µm
_2104_,10.58µm
_0662_,10.57µm
_0591_,10.54µm
_0690_,10.54µm
_1374_,10.54µm
_0673_,10.52µm
_2839_,10.52µm
_2423_,10.5µm
_2550_,10.5µm
_2594_,10.5µm
_2837_,10.5µm
_2913_,10.5µm
core.inst_addr_out\[22\],10.5µm
_0404_,10.47µm
_0352_,10.44µm
_1306_,10.44µm
_2137_,10.42µm
_0296_,10.4µm
_0507_,10.4µm
_0820_,10.4µm
_1768_,10.4µm
_1931_,10.4µm
_2957_,10.4µm
_0542_,10.38µm
_0941_,10.38µm
_1200_,10.38µm
_1989_,10.38µm
_1023_,10.37µm
_0337_,10.36µm
_0737_,10.36µm
_0901_,10.36µm
_1027_,10.36µm
_2395_,10.36µm
_2467_,10.36µm
_2727_,10.36µm
_1119_,10.35µm
_0443_,10.34µm
_1820_,10.34µm
_2767_,10.34µm
_2979_,10.34µm
net260,10.34µm
_0330_,10.32µm
_0569_,10.32µm
_2273_,10.32µm
_1112_,10.31µm
_0093_,10.3µm
_0758_,10.3µm
_1685_,10.3µm
_2408_,10.3µm
_0508_,10.29µm
_1104_,10.28µm
_1462_,10.28µm
_1958_,10.28µm
_2863_,10.28µm
core.dsp_result_in\[13\],10.28µm
_0596_,10.26µm
_0989_,10.26µm
_1428_,10.26µm
_2606_,10.24µm
_0870_,10.2µm
_1093_,10.2µm
_1369_,10.2µm
_1613_,10.2µm
_2220_,10.2µm
_2323_,10.2µm
_0237_,10.18µm
_0839_,10.18µm
_1749_,10.18µm
_2489_,10.18µm
_2575_,10.18µm
_2780_,10.18µm
_0097_,10.16µm
_1122_,10.16µm
_1219_,10.16µm
_1544_,10.16µm
_1929_,10.16µm
_2682_,10.16µm
_1407_,10.14µm
_2100_,10.14µm
_2167_,10.125µm
net264,10.12µm
_0590_,10.1µm
_2126_,10.095µm
_1479_,10.08µm
_2538_,10.08µm
monitor_out[25],10.08µm
monitor_out[26],10.08µm
_0796_,10.06µm
_1644_,10.06µm
_2634_,10.06µm
_2800_,10.06µm
_0781_,10.045µm
_2835_,10.045µm
_0493_,10.04µm
_0682_,10.04µm
_2145_,10.04µm
_2376_,10.04µm
_2934_,10.04µm
dsp.u_mac.acc_reg\[3\],10.04µm
net275,10.04µm
_0950_,10.02µm
_0819_,10µm
_1887_,10µm
_1525_,9.98µm
_1827_,9.98µm
_1895_,9.98µm
_2225_,9.98µm
net367,9.98µm
_2769_,9.97µm
_1291_,9.96µm
_2059_,9.96µm
_0106_,9.94µm
_0295_,9.94µm
_0554_,9.94µm
_0619_,9.94µm
_1135_,9.94µm
_1851_,9.94µm
_1081_,9.92µm
_1698_,9.92µm
_2124_,9.92µm
_1997_,9.9µm
_2698_,9.9µm
_0452_,9.88µm
_0074_,9.86µm
_0779_,9.86µm
_0862_,9.86µm
_2391_,9.86µm
_2470_,9.86µm
core.dsp_result_in\[0\],9.86µm
net4,9.86µm
_0328_,9.84µm
_0478_,9.84µm
_1599_,9.84µm
_2149_,9.84µm
_2496_,9.84µm
_2689_,9.84µm
_1832_,9.825µm
_0187_,9.82µm
_2460_,9.82µm
_2461_,9.82µm
_0193_,9.8µm
_0547_,9.8µm
_2313_,9.8µm
_0312_,9.78µm
_2588_,9.78µm
_0348_,9.76µm
_1902_,9.75µm
_0884_,9.74µm
_0924_,9.74µm
_2626_,9.74µm
_0171_,9.72µm
_1052_,9.72µm
_1994_,9.72µm
_2153_,9.72µm
_2543_,9.72µm
_2556_,9.72µm
_0855_,9.7µm
_0883_,9.7µm
_0938_,9.7µm
_1218_,9.7µm
_1226_,9.7µm
_1440_,9.7µm
_1754_,9.7µm
_1983_,9.7µm
_2029_,9.7µm
_2858_,9.7µm
_2865_,9.7µm
_3048_,9.7µm
_2631_,9.69µm
_0635_,9.68µm
_1574_,9.67µm
_0169_,9.66µm
_0231_,9.66µm
_1459_,9.66µm
_2103_,9.66µm
_2786_,9.66µm
_2695_,9.64µm
_1442_,9.62µm
_1893_,9.62µm
_2533_,9.62µm
_2936_,9.6µm
_0804_,9.595µm
_0077_,9.58µm
_0769_,9.58µm
_0927_,9.58µm
_1183_,9.58µm
_1714_,9.58µm
_1777_,9.58µm
_2023_,9.58µm
_2382_,9.58µm
_2625_,9.58µm
_0800_,9.56µm
_0732_,9.55µm
_0014_,9.54µm
_1222_,9.54µm
_1655_,9.54µm
core.u_fetch.next_pc\[20\],9.54µm
_0118_,9.52µm
_2405_,9.52µm
net342,9.52µm
_0457_,9.515µm
_0307_,9.5µm
_0677_,9.5µm
_0850_,9.5µm
_1464_,9.5µm
_2034_,9.5µm
_2112_,9.5µm
_2456_,9.5µm
_3055_,9.5µm
_0069_,9.48µm
_0858_,9.48µm
_0902_,9.48µm
_1076_,9.48µm
_1414_,9.48µm
_1793_,9.48µm
_2098_,9.48µm
_2370_,9.48µm
_0470_,9.46µm
_0754_,9.46µm
_2026_,9.46µm
_2891_,9.46µm
_0465_,9.44µm
_0650_,9.44µm
_3039_,9.44µm
_0633_,9.42µm
_2716_,9.42µm
_0298_,9.4µm
_2116_,9.4µm
_2335_,9.4µm
_2986_,9.4µm
_3032_,9.4µm
_1469_,9.39µm
_2477_,9.39µm
_0738_,9.38µm
_2447_,9.38µm
_2984_,9.38µm
_0260_,9.37µm
_0394_,9.36µm
_0545_,9.36µm
_0676_,9.36µm
_1925_,9.36µm
_2595_,9.36µm
_2980_,9.36µm
net32,9.36µm
core.inst_addr_out\[16\],9.34µm
_1060_,9.33µm
_0305_,9.32µm
_0402_,9.32µm
_0734_,9.32µm
_0837_,9.32µm
_1250_,9.32µm
_1567_,9.32µm
_1757_,9.32µm
_2545_,9.32µm
_2964_,9.32µm
net269,9.32µm
net285,9.32µm
_0908_,9.3µm
_1799_,9.3µm
_2940_,9.3µm
_1229_,9.29µm
_0130_,9.28µm
_1787_,9.28µm
_2410_,9.28µm
core.u_regfile.registers\[2\]\[6\],9.28µm
_0856_,9.26µm
_1358_,9.26µm
_2314_,9.26µm
_2517_,9.26µm
_2633_,9.26µm
_2994_,9.26µm
_3015_,9.26µm
_2687_,9.255µm
_0154_,9.24µm
_0256_,9.24µm
_0923_,9.24µm
_1695_,9.24µm
_1890_,9.24µm
_1905_,9.24µm
_2005_,9.24µm
_2042_,9.24µm
_1186_,9.235µm
_0648_,9.2µm
_2003_,9.2µm
_2166_,9.2µm
_0076_,9.16µm
_1704_,9.16µm
_2446_,9.16µm
_1163_,9.14µm
_2016_,9.14µm
_0956_,9.12µm
_2249_,9.12µm
_2509_,9.12µm
_0657_,9.1µm
_1105_,9.08µm
_1128_,9.08µm
_2336_,9.08µm
_2426_,9.06µm
_0168_,9.04µm
_0593_,9.04µm
_1307_,9.04µm
_2526_,9.04µm
_2815_,9.04µm
dsp.u_mac.acc_reg\[4\],9.04µm
_0138_,9.02µm
_0323_,9.02µm
_0606_,9.02µm
_0695_,9.02µm
_2181_,9.02µm
_2896_,9.02µm
_0672_,8.98µm
_1926_,8.98µm
_2106_,8.98µm
_1864_,8.96µm
_2476_,8.96µm
monitor_out[0],8.96µm
monitor_out[1],8.96µm
monitor_out[2],8.96µm
monitor_out[3],8.96µm
monitor_out[4],8.96µm
monitor_out[5],8.96µm
_1015_,8.94µm
_1955_,8.94µm
_2333_,8.94µm
_0441_,8.92µm
_1535_,8.92µm
_2762_,8.92µm
_0180_,8.9µm
_0338_,8.9µm
_0485_,8.9µm
_0935_,8.9µm
_1637_,8.9µm
_2020_,8.9µm
_2053_,8.9µm
_2315_,8.9µm
dsp.u_mac.acc_reg\[17\],8.9µm
_3036_,8.89µm
_2379_,8.88µm
_1180_,8.87µm
_1204_,8.86µm
_1240_,8.86µm
_1053_,8.82µm
_1620_,8.82µm
_1947_,8.82µm
_2494_,8.82µm
_2549_,8.82µm
_1086_,8.8µm
_1094_,8.8µm
_2051_,8.8µm
_0353_,8.785µm
_1298_,8.78µm
_2644_,8.78µm
_2915_,8.76µm
_0022_,8.74µm
_2022_,8.74µm
_2448_,8.74µm
_1965_,8.72µm
_0363_,8.71µm
_1120_,8.71µm
_1490_,8.705µm
_0272_,8.7µm
_1752_,8.7µm
_1774_,8.7µm
_1843_,8.7µm
_2084_,8.7µm
_2988_,8.7µm
_1017_,8.68µm
_1368_,8.68µm
_1831_,8.68µm
_2441_,8.68µm
_2817_,8.68µm
_0772_,8.67µm
_1037_,8.66µm
_1082_,8.66µm
_1379_,8.66µm
_1534_,8.66µm
_2063_,8.66µm
_1176_,8.64µm
_1866_,8.62µm
_0071_,8.6µm
_0082_,8.6µm
_0881_,8.6µm
_1794_,8.6µm
_2901_,8.6µm
core.u_regfile.registers\[2\]\[20\],8.6µm
_2765_,8.59µm
_0115_,8.58µm
_0246_,8.58µm
_0728_,8.58µm
_0771_,8.58µm
_1061_,8.58µm
_1898_,8.58µm
_2144_,8.58µm
_2656_,8.58µm
_2834_,8.58µm
_2864_,8.58µm
_2907_,8.58µm
_0530_,8.56µm
_1038_,8.56µm
_1393_,8.56µm
_1501_,8.56µm
_1855_,8.56µm
_2407_,8.56µm
_2723_,8.56µm
net306,8.56µm
net277,8.55µm
_0095_,8.54µm
_2321_,8.54µm
_2783_,8.535µm
_0311_,8.52µm
_0552_,8.52µm
_1609_,8.52µm
_2263_,8.52µm
core.dsp_result_in\[1\],8.52µm
_1197_,8.5µm
_2870_,8.5µm
monitor_out[6],8.5µm
_0291_,8.48µm
_0861_,8.48µm
_1481_,8.48µm
_1668_,8.48µm
_2402_,8.48µm
monitor_out[21],8.47µm
_0510_,8.46µm
_1192_,8.46µm
_1422_,8.46µm
_1547_,8.46µm
_2430_,8.46µm
_2490_,8.46µm
_2681_,8.46µm
_0565_,8.44µm
_0696_,8.44µm
_2017_,8.44µm
_2568_,8.44µm
_2846_,8.44µm
core.u_regfile.registers\[2\]\[7\],8.44µm
dsp.u_mac.acc_reg\[11\],8.44µm
_1966_,8.42µm
_2560_,8.4µm
core.dsp_result_in\[10\],8.4µm
net274,8.4µm
_0333_,8.39µm
_0251_,8.36µm
_2776_,8.36µm
dsp.u_mac.acc_reg\[5\],8.36µm
_1424_,8.34µm
_2722_,8.34µm
_2742_,8.34µm
_0544_,8.32µm
_1447_,8.32µm
_1710_,8.32µm
_2073_,8.32µm
_2661_,8.32µm
_1835_,8.29µm
_2130_,8.29µm
_0000_,8.28µm
_0589_,8.28µm
_0416_,8.26µm
_0761_,8.26µm
_2131_,8.26µm
_0397_,8.25µm
_0320_,8.24µm
_1062_,8.24µm
_1805_,8.24µm
_2502_,8.24µm
core.u_regfile.registers\[2\]\[14\],8.24µm
_1896_,8.22µm
_2541_,8.22µm
_0654_,8.215µm
_0702_,8.2µm
_2121_,8.2µm
_0315_,8.17µm
_1411_,8.16µm
_1635_,8.16µm
_2855_,8.16µm
_0101_,8.14µm
_0372_,8.14µm
_0454_,8.14µm
_1482_,8.14µm
_1858_,8.14µm
net8,8.14µm
net356,8.14µm
monitor_out[13],8.13µm
monitor_out[15],8.13µm
_2422_,8.12µm
_2453_,8.12µm
_2602_,8.12µm
_0116_,8.1µm
_0447_,8.1µm
_0553_,8.1µm
_0857_,8.1µm
_0919_,8.1µm
_0953_,8.1µm
_1355_,8.1µm
core.dsp_result_in\[6\],8.1µm
net261,8.1µm
_0361_,8.08µm
_0406_,8.08µm
_1049_,8.08µm
core.dsp_result_in\[18\],8.08µm
_0120_,8.06µm
_0274_,8.06µm
_0310_,8.06µm
_1287_,8.04µm
_1203_,8.03µm
_0135_,8.02µm
_1497_,8.02µm
_2746_,8.02µm
_2785_,8.02µm
_2660_,8.01µm
_0088_,8µm
_1190_,8µm
_1295_,8µm
_2038_,8µm
_0287_,7.98µm
_0502_,7.98µm
_0622_,7.98µm
_1263_,7.98µm
_1389_,7.98µm
_1420_,7.98µm
_1881_,7.98µm
_2464_,7.98µm
_2886_,7.98µm
_2890_,7.98µm
_3017_,7.98µm
_2277_,7.96µm
_2882_,7.96µm
_0588_,7.94µm
_2587_,7.94µm
_2872_,7.94µm
_0971_,7.92µm
_1354_,7.92µm
_0092_,7.9µm
_0912_,7.9µm
_0914_,7.9µm
_1361_,7.9µm
_1807_,7.9µm
_2411_,7.9µm
_2910_,7.9µm
_0358_,7.89µm
_0229_,7.88µm
_0602_,7.88µm
_2917_,7.88µm
_0068_,7.86µm
_1551_,7.86µm
_2773_,7.86µm
_0801_,7.855µm
_0018_,7.82µm
monitor_out[23],7.79µm
_0233_,7.785µm
_0188_,7.78µm
_0464_,7.78µm
_0860_,7.78µm
_0899_,7.78µm
_1562_,7.78µm
_1708_,7.78µm
_1833_,7.78µm
_1861_,7.78µm
_1928_,7.78µm
_1992_,7.78µm
_2140_,7.78µm
_2404_,7.78µm
_2697_,7.78µm
_3058_,7.78µm
core.u_regfile.registers\[2\]\[5\],7.78µm
_0436_,7.75µm
_1845_,7.74µm
_2024_,7.74µm
_2070_,7.74µm
_2359_,7.74µm
_2511_,7.74µm
_2572_,7.74µm
_2614_,7.74µm
_3052_,7.74µm
_0466_,7.72µm
_2317_,7.7µm
_0693_,7.68µm
_0874_,7.68µm
_1335_,7.68µm
_2211_,7.68µm
net357,7.68µm
_1532_,7.67µm
_2640_,7.67µm
_0170_,7.66µm
_0609_,7.66µm
_0948_,7.66µm
_1812_,7.66µm
_2637_,7.66µm
_0276_,7.64µm
_0697_,7.64µm
_0791_,7.64µm
_1410_,7.64µm
_1577_,7.64µm
_1823_,7.64µm
_2150_,7.64µm
_2346_,7.64µm
_2398_,7.64µm
_2612_,7.64µm
_2860_,7.64µm
core.dsp_result_in\[5\],7.64µm
_1514_,7.62µm
_1967_,7.6µm
_2217_,7.6µm
_2869_,7.6µm
_1870_,7.58µm
_2083_,7.58µm
_2630_,7.58µm
net268,7.58µm
_0488_,7.56µm
_0561_,7.56µm
_0703_,7.56µm
_2812_,7.56µm
net282,7.56µm
net352,7.56µm
_0720_,7.54µm
_1914_,7.54µm
_1047_,7.535µm
_0123_,7.52µm
_0279_,7.52µm
_0642_,7.52µm
_1092_,7.52µm
_1474_,7.52µm
_1642_,7.52µm
_2343_,7.52µm
_2431_,7.52µm
_2719_,7.52µm
_2961_,7.52µm
core.dsp_result_in\[17\],7.52µm
dsp.u_mac.acc_reg\[24\],7.52µm
net26,7.52µm
_0686_,7.5µm
_2200_,7.48µm
_2638_,7.48µm
net256,7.48µm
_1941_,7.445µm
_0841_,7.44µm
_1513_,7.44µm
_1728_,7.44µm
_1894_,7.44µm
_2491_,7.44µm
_2508_,7.44µm
core.dsp_result_in\[4\],7.44µm
core.u_fetch.next_pc\[29\],7.44µm
_0141_,7.42µm
_0529_,7.4µm
_1185_,7.4µm
_1343_,7.4µm
_2349_,7.4µm
_2739_,7.37µm
_0254_,7.32µm
_0557_,7.32µm
_0600_,7.32µm
_0664_,7.32µm
_0782_,7.32µm
_1117_,7.32µm
_1246_,7.32µm
_1664_,7.32µm
_2519_,7.32µm
_2791_,7.32µm
core.dsp_result_in\[15\],7.32µm
dsp.u_mac.acc_reg\[30\],7.32µm
net280,7.32µm
_0241_,7.3µm
_0997_,7.3µm
_2983_,7.3µm
_0100_,7.28µm
_0445_,7.28µm
_2636_,7.28µm
_2720_,7.28µm
_0347_,7.26µm
_1011_,7.26µm
_1097_,7.26µm
_2850_,7.26µm
_0539_,7.25µm
_0155_,7.24µm
_1253_,7.24µm
_2400_,7.24µm
_2523_,7.24µm
_2686_,7.24µm
_1645_,7.235µm
_2345_,7.22µm
_2492_,7.22µm
net276,7.22µm
net338,7.22µm
net346,7.22µm
net353,7.22µm
_0809_,7.2µm
_1149_,7.2µm
_1224_,7.2µm
_1381_,7.2µm
_1453_,7.2µm
_1742_,7.2µm
_2031_,7.2µm
_2454_,7.2µm
_0091_,7.18µm
_1247_,7.18µm
_1874_,7.18µm
_2569_,7.18µm
_2725_,7.18µm
_2771_,7.18µm
_0375_,7.16µm
_1390_,7.16µm
_1342_,7.12µm
_1383_,7.12µm
_2071_,7.12µm
_2760_,7.12µm
_0562_,7.1µm
_0773_,7.1µm
_0945_,7.1µm
_1004_,7.1µm
_1288_,7.1µm
_1703_,7.1µm
_1772_,7.1µm
_1778_,7.1µm
_1936_,7.1µm
_2658_,7.1µm
_3061_,7.1µm
core.u_regfile.registers\[1\]\[15\],7.1µm
_0847_,7.08µm
_1077_,7.08µm
_1375_,7.08µm
_2418_,7.08µm
_2495_,7.08µm
_2525_,7.08µm
_2688_,7.08µm
_1064_,7.075µm
_0208_,7.06µm
_0354_,7.06µm
_0408_,7.06µm
_0514_,7.06µm
_0679_,7.06µm
