net,length_um
_1169_,49.64µm
_1431_,49.4µm
_2518_,49.35µm
_2949_,49.15µm
net27,49.14µm
_3001_,48.96µm
_1673_,48.5µm
_2947_,48.34µm
_1084_,48.12µm
_0879_,47.82µm
_2118_,47.76µm
_0921_,47.72µm
core.u_regfile.registers\[1\]\[22\],47.7µm
_0767_,47.56µm
_2554_,47.46µm
_0153_,47.36µm
_1232_,46.98µm
_3007_,46.89µm
_1020_,46.68µm
_2672_,46.665µm
core.inst_addr_out\[31\],46.5µm
_0201_,46.4µm
_0994_,46.28µm
_2420_,46µm
_0391_,45.86µm
_1985_,45.66µm
_1233_,45.62µm
_2364_,45.58µm
_0292_,45.38µm
_1303_,45.38µm
core.inst_addr_out\[26\],45.12µm
core.dsp_result_in\[26\],44.94µm
_2506_,44.92µm
net86,44.9µm
_2373_,44.68µm
net208,44.61µm
_0146_,44.58µm
_1973_,44.36µm
_3029_,44.28µm
_0802_,44.26µm
net218,44.24µm
_0760_,44.14µm
_2338_,44.1µm
_0284_,44.02µm
_2756_,44.02µm
_2996_,44.02µm
_2387_,43.92µm
core.inst_addr_out\[30\],43.78µm
_0787_,43.46µm
_0096_,43.34µm
core.u_regfile.registers\[2\]\[29\],43.18µm
_1723_,43.08µm
_0775_,42.96µm
_0990_,42.9µm
_0218_,42.76µm
_0252_,42.76µm
_0471_,42.72µm
_1426_,42.52µm
_0365_,42.42µm
_1268_,42.19µm
_2466_,42.14µm
_2598_,42.1µm
_2562_,42.01µm
_2380_,41.98µm
_0586_,41.88µm
_2378_,41.88µm
net251,41.22µm
core.inst_addr_out\[29\],41.02µm
_0744_,40.8µm
_0649_,40.785µm
_2643_,40.78µm
_2236_,40.54µm
_2156_,40.43µm
_1526_,40.38µm
_2690_,40.36µm
_2097_,40.16µm
_1705_,39.94µm
_0124_,39.88µm
_2309_,39.86µm
_2342_,39.74µm
_2228_,39.66µm
_1300_,39.64µm
_2191_,39.54µm
_2822_,39.34µm
_1438_,39.28µm
_2926_,39.26µm
_0624_,39.2µm
_2282_,39.04µm
_0335_,39.02µm
_1057_,38.7µm
_1352_,38.7µm
_2879_,38.66µm
_0072_,38.56µm
_2421_,38.56µm
_2628_,38.56µm
_2973_,38.52µm
_0126_,38.46µm
_2401_,38.38µm
core.u_regfile.registers\[1\]\[18\],38.32µm
_2520_,38.21µm
_1809_,38.02µm
_1460_,37.685µm
core.inst_addr_out\[21\],37.49µm
_1099_,37.44µm
_2832_,37.42µm
_0344_,37.1µm
core.inst_addr_out\[24\],37.1µm
_0630_,37.08µm
_2781_,37.04µm
net359,36.9µm
_0694_,36.78µm
_2050_,36.68µm
_0387_,36.66µm
_0750_,36.62µm
_0826_,36.56µm
_1657_,36.49µm
_2067_,36.44µm
_2298_,36.22µm
_1541_,36.1µm
_2514_,36µm
_2954_,36µm
_2019_,35.74µm
_2184_,35.72µm
_3037_,35.72µm
_0768_,35.645µm
_0309_,35.6µm
_1880_,35.5µm
_3005_,35.485µm
_2736_,35.435µm
_1511_,35.22µm
_2254_,35.18µm
_1198_,35.08µm
_0511_,35.04µm
_0961_,34.98µm
_2548_,34.94µm
_2663_,34.16µm
_1968_,34.02µm
_2793_,34.02µm
core.u_regfile.registers\[1\]\[30\],33.94µm
