net,length_um
_0601_,6.98µm
_0725_,6.98µm
_1117_,6.98µm
_1213_,6.98µm
_2583_,6.98µm
net295,6.98µm
_2942_,6.96µm
_0080_,6.94µm
_0100_,6.94µm
_0208_,6.94µm
_1271_,6.94µm
_1840_,6.94µm
dsp.u_mac.acc_reg\[6\],6.94µm
net257,6.94µm
_3036_,6.935µm
_2739_,6.91µm
_1559_,6.88µm
_2503_,6.88µm
_3056_,6.865µm
_0942_,6.86µm
_0980_,6.86µm
_1209_,6.86µm
_2031_,6.86µm
_2117_,6.86µm
_2326_,6.86µm
_2419_,6.86µm
_2508_,6.86µm
_2775_,6.86µm
_2873_,6.86µm
_2884_,6.86µm
_0691_,6.84µm
_1903_,6.82µm
_2059_,6.82µm
dsp.u_mac.acc_reg\[12\],6.82µm
_0046_,6.8µm
_0363_,6.79µm
_0756_,6.78µm
_0906_,6.775µm
monitor_out[11],6.77µm
_0010_,6.76µm
_0904_,6.76µm
_1412_,6.76µm
_2134_,6.76µm
_2138_,6.76µm
core.u_regfile.registers\[2\]\[5\],6.76µm
_0205_,6.74µm
_0234_,6.74µm
_0848_,6.74µm
_1127_,6.74µm
_1453_,6.74µm
_1592_,6.74µm
_1598_,6.74µm
_2943_,6.74µm
_0699_,6.72µm
_0730_,6.72µm
_0736_,6.72µm
_0794_,6.72µm
_0868_,6.72µm
_1398_,6.72µm
_1882_,6.72µm
_1948_,6.72µm
_2275_,6.72µm
_2511_,6.72µm
_2874_,6.72µm
_0165_,6.66µm
_0576_,6.66µm
_1080_,6.66µm
_1137_,6.66µm
_3021_,6.66µm
_0378_,6.64µm
_0684_,6.64µm
_0709_,6.64µm
_0882_,6.64µm
_1496_,6.64µm
_2173_,6.64µm
_2615_,6.64µm
_2700_,6.64µm
_2714_,6.64µm
core.dsp_result_in\[15\],6.64µm
_2642_,6.63µm
_1564_,6.62µm
_2699_,6.615µm
_0216_,6.6µm
_0489_,6.6µm
_0514_,6.6µm
_0559_,6.6µm
_0751_,6.6µm
_1140_,6.6µm
_1173_,6.6µm
_1347_,6.6µm
_1562_,6.6µm
_2069_,6.6µm
_2160_,6.6µm
_2650_,6.6µm
_2706_,6.6µm
core.u_regfile.registers\[2\]\[2\],6.6µm
dsp.u_mac.acc_reg\[14\],6.6µm
net7,6.6µm
net23,6.6µm
net319,6.6µm
_0885_,6.58µm
_1645_,6.555µm
_1692_,6.545µm
_1274_,6.54µm
_0195_,6.52µm
_0325_,6.52µm
_0600_,6.52µm
_0663_,6.52µm
_1095_,6.52µm
_1366_,6.52µm
_1576_,6.52µm
_1701_,6.52µm
_1706_,6.52µm
_1898_,6.52µm
_2240_,6.52µm
_2982_,6.52µm
_0778_,6.5µm
_2891_,6.5µm
_0581_,6.48µm
_0792_,6.48µm
_1393_,6.48µm
_2572_,6.48µm
_2753_,6.48µm
_0496_,6.44µm
net334,6.44µm
monitor_out[16],6.43µm
core.u_fetch.next_pc\[25\],6.42µm
_2464_,6.41µm
_1079_,6.4µm
_2438_,6.4µm
_2463_,6.4µm
_2925_,6.4µm
_2304_,6.36µm
_2768_,6.36µm
_0719_,6.33µm
_1074_,6.33µm
_0155_,6.32µm
_0607_,6.32µm
_1129_,6.32µm
_1432_,6.32µm
_1520_,6.32µm
_1956_,6.32µm
net386,6.32µm
_1009_,6.3µm
_1028_,6.3µm
_1498_,6.3µm
_1560_,6.3µm
_1823_,6.3µm
_1858_,6.3µm
core.u_regfile.registers\[2\]\[21\],6.3µm
_0573_,6.29µm
_0140_,6.285µm
_0228_,6.28µm
_0476_,6.28µm
_0517_,6.28µm
_0720_,6.28µm
_0962_,6.28µm
_0988_,6.28µm
_2975_,6.28µm
_0029_,6.26µm
_0202_,6.26µm
_0204_,6.26µm
_0239_,6.26µm
_0582_,6.26µm
_2088_,6.26µm
_2880_,6.26µm
_0740_,6.21µm
_1194_,6.2µm
_0386_,6.18µm
_0967_,6.18µm
_1687_,6.18µm
_1778_,6.18µm
_2132_,6.18µm
_2655_,6.18µm
_0245_,6.16µm
_0297_,6.16µm
_0373_,6.16µm
_0486_,6.16µm
_2788_,6.16µm
_2826_,6.16µm
_1702_,6.155µm
_0341_,6.145µm
_0162_,6.14µm
_0409_,6.14µm
_0564_,6.14µm
_0634_,6.14µm
_0674_,6.14µm
_0689_,6.14µm
_1429_,6.14µm
_1435_,6.14µm
_1502_,6.14µm
_1611_,6.14µm
_1632_,6.14µm
_1911_,6.14µm
_2341_,6.14µm
_2728_,6.14µm
_2765_,6.14µm
_1477_,6.12µm
_2941_,6.12µm
_2967_,6.08µm
_0081_,6.06µm
_0145_,6.06µm
_0249_,6.06µm
_0933_,6.06µm
_1557_,6.06µm
_2479_,6.06µm
_2843_,6.06µm
_2953_,6.06µm
dsp.u_mac.acc_reg\[16\],6.06µm
dsp.u_mac.acc_reg\[27\],6.06µm
_0108_,6.04µm
_0851_,6.04µm
_0403_,6.02µm
_0708_,6.02µm
_1030_,6.02µm
_1430_,6.02µm
_2772_,6.02µm
_0089_,6.01µm
_1494_,6.01µm
_2640_,5.99µm
_2726_,5.99µm
_1069_,5.98µm
_1834_,5.98µm
_0135_,5.96µm
_0139_,5.96µm
_0644_,5.96µm
_2740_,5.95µm
_0329_,5.945µm
_0084_,5.94µm
_0301_,5.94µm
_0435_,5.94µm
_0604_,5.94µm
_1583_,5.94µm
_1917_,5.94µm
_2559_,5.94µm
_2790_,5.94µm
_2827_,5.94µm
_2974_,5.94µm
_2072_,5.92µm
_2887_,5.92µm
_0206_,5.9µm
_2205_,5.9µm
monitor_out[13],5.87µm
_0152_,5.86µm
_0726_,5.86µm
_0917_,5.86µm
_0501_,5.84µm
_0891_,5.84µm
_1050_,5.84µm
_1191_,5.84µm
_1340_,5.84µm
_1945_,5.84µm
_2035_,5.84µm
_3041_,5.84µm
core.u_fetch.next_pc\[8\],5.84µm
net271,5.84µm
_1951_,5.82µm
_2710_,5.82µm
_2787_,5.82µm
_2918_,5.82µm
_0156_,5.8µm
_0223_,5.8µm
_0412_,5.8µm
_0515_,5.8µm
_0546_,5.8µm
_0739_,5.8µm
_1072_,5.8µm
_1216_,5.8µm
_2107_,5.8µm
_2233_,5.8µm
_2536_,5.8µm
_2671_,5.8µm
_2845_,5.8µm
core.dsp_result_in\[5\],5.8µm
net301,5.8µm
monitor_out[18],5.75µm
_1179_,5.74µm
_3004_,5.74µm
net4,5.74µm
net396,5.74µm
_0196_,5.72µm
_0271_,5.72µm
_0605_,5.72µm
_0715_,5.72µm
_0749_,5.72µm
_1123_,5.72µm
_1331_,5.72µm
_1372_,5.72µm
_1563_,5.72µm
_1762_,5.72µm
_2089_,5.72µm
_2291_,5.72µm
_2680_,5.72µm
_2866_,5.72µm
net300,5.72µm
net385,5.72µm
_0180_,5.7µm
_0479_,5.7µm
_0578_,5.7µm
_0777_,5.7µm
_2647_,5.7µm
_0177_,5.68µm
_0362_,5.68µm
_0784_,5.68µm
_0803_,5.68µm
_1165_,5.68µm
_1403_,5.68µm
_1427_,5.68µm
_1466_,5.68µm
_1691_,5.68µm
_1713_,5.68µm
_1780_,5.68µm
_1791_,5.68µm
_2705_,5.68µm
_2821_,5.68µm
_3016_,5.68µm
net377,5.68µm
_2616_,5.65µm
_1485_,5.63µm
_1231_,5.62µm
_1570_,5.62µm
_2631_,5.62µm
_2694_,5.62µm
_2111_,5.605µm
_0671_,5.6µm
_0790_,5.6µm
_0813_,5.6µm
_1838_,5.6µm
_1928_,5.6µm
_2899_,5.6µm
_2939_,5.6µm
_2992_,5.6µm
net256,5.6µm
_0558_,5.58µm
_0849_,5.58µm
_2099_,5.58µm
_0027_,5.56µm
_0405_,5.56µm
_2292_,5.56µm
_0240_,5.53µm
_0242_,5.52µm
_1090_,5.52µm
_2591_,5.52µm
_2965_,5.52µm
_0232_,5.5µm
_0360_,5.5µm
dsp.u_mac.acc_reg\[26\],5.5µm
_1042_,5.485µm
_0023_,5.48µm
_0853_,5.48µm
_1359_,5.48µm
_1385_,5.48µm
_1539_,5.48µm
_2622_,5.48µm
_2693_,5.48µm
_2862_,5.48µm
_3046_,5.48µm
core.dsp_result_in\[21\],5.48µm
_0704_,5.47µm
_1238_,5.46µm
_0136_,5.44µm
_0485_,5.44µm
monitor_out[12],5.41µm
monitor_out[9],5.41µm
_0210_,5.4µm
_0636_,5.4µm
_1363_,5.4µm
_2009_,5.4µm
_2265_,5.4µm
_0042_,5.38µm
_0526_,5.38µm
_0757_,5.38µm
_1724_,5.38µm
_1854_,5.38µm
_2454_,5.38µm
_0428_,5.365µm
_0109_,5.36µm
_0653_,5.36µm
_0675_,5.36µm
_1688_,5.36µm
_1856_,5.36µm
_1879_,5.36µm
_1987_,5.36µm
_2241_,5.36µm
dsp.u_mac.acc_reg\[2\],5.36µm
_0116_,5.34µm
_0518_,5.34µm
_0611_,5.34µm
_1310_,5.34µm
_1789_,5.34µm
_1906_,5.34µm
_2324_,5.34µm
_2488_,5.34µm
_2619_,5.34µm
net296,5.34µm
_0729_,5.29µm
_0064_,5.28µm
_0090_,5.26µm
_0350_,5.26µm
_0681_,5.26µm
_0731_,5.26µm
_1316_,5.26µm
_1399_,5.26µm
_1519_,5.26µm
_1568_,5.26µm
_1684_,5.26µm
_1912_,5.26µm
_2230_,5.26µm
_2246_,5.26µm
_2567_,5.26µm
_2662_,5.26µm
_2712_,5.26µm
_2830_,5.26µm
_2929_,5.26µm
core.dsp_result_in\[12\],5.26µm
net267,5.26µm
_1680_,5.24µm
_2656_,5.24µm
_2673_,5.24µm
_0086_,5.22µm
_0473_,5.22µm
_0828_,5.22µm
_0865_,5.22µm
_1054_,5.22µm
_1461_,5.22µm
_1468_,5.22µm
_1718_,5.22µm
_1798_,5.22µm
_1938_,5.22µm
_2168_,5.22µm
_2204_,5.22µm
_2586_,5.22µm
core.u_regfile.registers\[2\]\[10\],5.22µm
net25,5.22µm
_0110_,5.14µm
_0332_,5.14µm
_0346_,5.14µm
_1039_,5.14µm
_1739_,5.14µm
_1804_,5.14µm
_1913_,5.14µm
_2015_,5.14µm
_2081_,5.14µm
_2558_,5.14µm
_2752_,5.14µm
_2894_,5.14µm
_3044_,5.14µm
net378,5.14µm
_2882_,5.12µm
_0065_,5.1µm
_0293_,5.1µm
_2912_,5.07µm
_0048_,5.06µm
net390,5.06µm
_0011_,5.04µm
_0383_,5.04µm
_0560_,5.04µm
_1125_,5.04µm
_1211_,5.04µm
_1326_,5.025µm
_0151_,5.02µm
_0603_,5.02µm
_1034_,5.02µm
_2490_,5.02µm
_2498_,5.02µm
_2602_,5.02µm
_2603_,5.02µm
_2741_,5.02µm
_2922_,5.02µm
_3023_,5.02µm
_3060_,5.02µm
_0017_,5µm
_0551_,5µm
_1733_,5µm
_2178_,5µm
_2889_,5µm
_2966_,4.995µm
_0085_,4.95µm
_1133_,4.94µm
_2970_,4.94µm
_3025_,4.94µm
_2762_,4.935µm
_0073_,4.92µm
_0478_,4.92µm
_0807_,4.92µm
_0854_,4.92µm
_1024_,4.92µm
_1195_,4.92µm
_1400_,4.92µm
_1443_,4.92µm
_1603_,4.92µm
_1652_,4.92µm
_2248_,4.92µm
_2436_,4.92µm
_2906_,4.92µm
_2924_,4.92µm
core.u_regfile.registers\[2\]\[13\],4.92µm
_0094_,4.9µm
_0281_,4.9µm
_0516_,4.9µm
_0520_,4.9µm
_1046_,4.9µm
_1244_,4.9µm
_1779_,4.9µm
_2101_,4.9µm
_2159_,4.9µm
_2414_,4.9µm
_2959_,4.9µm
_1492_,4.895µm
_0439_,4.88µm
_0616_,4.88µm
_0665_,4.88µm
_1258_,4.88µm
_1364_,4.88µm
_1433_,4.88µm
_1456_,4.88µm
_1566_,4.88µm
_1873_,4.88µm
_2170_,4.88µm
_2372_,4.88µm
_2474_,4.88µm
_2638_,4.88µm
_2911_,4.88µm
dsp.u_mac.acc_reg\[0\],4.88µm
_1536_,4.82µm
_2195_,4.82µm
_2565_,4.82µm
_2856_,4.82µm
_3047_,4.82µm
_0302_,4.8µm
_0456_,4.8µm
_0613_,4.8µm
_0795_,4.8µm
_0844_,4.8µm
_1154_,4.8µm
_1578_,4.8µm
_1732_,4.8µm
_1734_,4.8µm
_1764_,4.8µm
_2048_,4.8µm
_2527_,4.8µm
_2748_,4.8µm
_2963_,4.8µm
_3049_,4.8µm
_0834_,4.795µm
_2937_,4.785µm
_0793_,4.78µm
_0929_,4.78µm
_0002_,4.76µm
_1106_,4.76µm
_1351_,4.76µm
_1405_,4.76µm
_1415_,4.76µm
_1589_,4.76µm
_1848_,4.76µm
_2269_,4.76µm
_2278_,4.76µm
_2358_,4.76µm
net32,4.76µm
net313,4.76µm
net314,4.76µm
monitor_out[20],4.73µm
_0499_,4.7µm
_1041_,4.7µm
_1507_,4.7µm
_2993_,4.7µm
_0166_,4.68µm
_0324_,4.68µm
_1543_,4.68µm
_1770_,4.68µm
_1775_,4.68µm
_1839_,4.68µm
_2418_,4.68µm
_2456_,4.68µm
_2550_,4.68µm
_2808_,4.68µm
_3011_,4.68µm
_3020_,4.68µm
_1036_,4.655µm
core.u_fetch.next_pc\[28\],4.58µm
_2840_,4.565µm
_1943_,4.56µm
_2472_,4.56µm
_2530_,4.56µm
_2654_,4.56µm
core.u_fetch.next_pc\[14\],4.54µm
net400,4.54µm
_0238_,4.495µm
_2238_,4.49µm
_0614_,4.48µm
_0821_,4.48µm
_1145_,4.48µm
_1413_,4.48µm
_1894_,4.48µm
_2232_,4.48µm
_2281_,4.48µm
_2444_,4.48µm
_2833_,4.48µm
_2935_,4.48µm
net277,4.48µm
_0043_,4.46µm
_0716_,4.46µm
_1091_,4.46µm
_1147_,4.46µm
_1223_,4.46µm
_1287_,4.46µm
_1292_,4.46µm
_1333_,4.46µm
_1521_,4.46µm
_1771_,4.46µm
_1826_,4.46µm
_2105_,4.46µm
_2209_,4.46µm
_2222_,4.46µm
_2898_,4.46µm
core.u_fetch.next_pc\[5\],4.46µm
net329,4.46µm
net414,4.46µm
net416,4.46µm
_0427_,4.44µm
_1741_,4.44µm
_2437_,4.44µm
_1220_,4.42µm
_1386_,4.42µm
_1636_,4.42µm
_1816_,4.42µm
_1963_,4.42µm
_2158_,4.42µm
_2270_,4.42µm
_2318_,4.42µm
_2329_,4.42µm
_2347_,4.42µm
_2354_,4.42µm
_2066_,4.39µm
monitor_out[10],4.39µm
monitor_out[14],4.39µm
monitor_out[19],4.39µm
monitor_out[22],4.39µm
monitor_out[7],4.39µm
monitor_out[8],4.39µm
_2577_,4.37µm
_0083_,4.36µm
_0160_,4.36µm
_0269_,4.36µm
_0776_,4.36µm
_1743_,4.36µm
_2828_,4.36µm
net302,4.36µm
_0179_,4.34µm
_0342_,4.34µm
_0449_,4.34µm
_0659_,4.34µm
_1083_,4.34µm
_1301_,4.34µm
_1376_,4.34µm
_1837_,4.34µm
_2004_,4.34µm
_2365_,4.34µm
_2696_,4.34µm
_3057_,4.34µm
_2903_,4.32µm
_0989_,4.28µm
_1465_,4.27µm
_1868_,4.25µm
_1545_,4.24µm
_1784_,4.24µm
_2893_,4.24µm
_0012_,4.22µm
_0203_,4.22µm
_0610_,4.22µm
_1591_,4.22µm
_1807_,4.22µm
_1853_,4.22µm
_1908_,4.22µm
_1918_,4.22µm
_1944_,4.22µm
_2086_,4.22µm
_2151_,4.22µm
_2231_,4.22µm
net9,4.22µm
_0816_,4.2µm
_1540_,4.2µm
_0364_,4.15µm
_0925_,4.14µm
_1448_,4.14µm
net320,4.14µm
net413,4.14µm
_0056_,4.12µm
_0257_,4.12µm
_1248_,4.12µm
core.u_fetch.next_pc\[16\],4.12µm
_0035_,4.1µm
_0580_,4.1µm
_0705_,4.1µm
_0753_,4.1µm
_2481_,4.1µm
_2701_,4.1µm
_0059_,4.08µm
_2052_,4.08µm
_0299_,4.03µm
_0418_,4.02µm
_0655_,4.02µm
_1100_,4.02µm
_1279_,4.02µm
_1857_,4.02µm
_2049_,4.02µm
_2288_,4.02µm
_2303_,4.02µm
_2777_,4.02µm
_0047_,4µm
_0931_,4µm
_1019_,4µm
_1605_,4µm
_1745_,4µm
_1852_,4µm
_1959_,4µm
_2115_,4µm
_2806_,4µm
net30,4µm
net405,4µm
_0446_,3.98µm
_0700_,3.98µm
_0948_,3.98µm
_1663_,3.98µm
_2025_,3.98µm
_2374_,3.98µm
rst_n,3.93µm
_0230_,3.9µm
_1408_,3.9µm
_0066_,3.88µm
_0280_,3.88µm
_1285_,3.88µm
_1546_,3.88µm
_2085_,3.88µm
_2147_,3.88µm
_2294_,3.88µm
_2507_,3.88µm
_2933_,3.88µm
net272,3.88µm
net276,3.88µm
net408,3.88µm
_2991_,3.86µm
_0877_,3.78µm
_0054_,3.76µm
_0467_,3.76µm
_0765_,3.76µm
_0845_,3.76µm
_0993_,3.76µm
_1314_,3.76µm
_1463_,3.76µm
_2892_,3.76µm
_2978_,3.76µm
core.u_fetch.next_pc\[13\],3.76µm
core.u_fetch.next_pc\[18\],3.76µm
net332,3.76µm
net417,3.76µm
_0859_,3.74µm
_1622_,3.74µm
net340,3.69µm
_1934_,3.68µm
_1970_,3.68µm
_2213_,3.68µm
_2795_,3.68µm
_2919_,3.68µm
net275,3.68µm
net394,3.68µm
_0030_,3.66µm
_0944_,3.66µm
core.u_fetch.next_pc\[26\],3.66µm
_0181_,3.64µm
_0197_,3.64µm
_0343_,3.64µm
_0594_,3.64µm
_1289_,3.64µm
_2763_,3.64µm
net288,3.64µm
_1278_,3.56µm
_1633_,3.56µm
_1869_,3.56µm
_2215_,3.56µm
_2532_,3.56µm
net317,3.56µm
net401,3.56µm
_0055_,3.54µm
_0291_,3.54µm
_0897_,3.54µm
_0978_,3.54µm
_1001_,3.54µm
_1029_,3.54µm
_1078_,3.54µm
_1424_,3.54µm
_1436_,3.54µm
_1721_,3.54µm
_1897_,3.54µm
_2058_,3.54µm
_2259_,3.54µm
_2443_,3.54µm
_2751_,3.54µm
_2755_,3.54µm
core.u_fetch.next_pc\[24\],3.54µm
net11,3.54µm
_0431_,3.52µm
_1045_,3.52µm
_1522_,3.52µm
_2186_,3.52µm
net266,3.45µm
_0433_,3.44µm
_1051_,3.44µm
_1608_,3.44µm
_2717_,3.44µm
net6,3.44µm
net273,3.44µm
_0113_,3.42µm
_0266_,3.42µm
_0413_,3.42µm
_0492_,3.42µm
_0538_,3.42µm
_0632_,3.42µm
_1141_,3.42µm
_1647_,3.42µm
_1885_,3.42µm
_2108_,3.42µm
_2287_,3.42µm
_2442_,3.42µm
_3002_,3.42µm
net399,3.42µm
_2600_,3.41µm
_1225_,3.32µm
_0805_,3.3µm
_1075_,3.3µm
_1888_,3.3µm
_2556_,3.3µm
core.u_fetch.next_pc\[9\],3.3µm
net331,3.3µm
net333,3.3µm
_0161_,3.22µm
_1339_,3.22µm
_2923_,3.22µm
_0001_,3.2µm
_0004_,3.2µm
_0039_,3.2µm
_0345_,3.2µm
_0150_,3.18µm
_0498_,3.18µm
_1153_,3.18µm
_1508_,3.18µm
_1981_,3.18µm
_2355_,3.18µm
_2389_,3.18µm
_2557_,3.18µm
net12,3.18µm
net16,3.18µm
net22,3.18µm
_0481_,3.1µm
_0915_,3.1µm
_1040_,3.1µm
_1184_,3.1µm
_1573_,3.1µm
_1740_,3.1µm
_2113_,3.1µm
_2235_,3.1µm
_2264_,3.1µm
_2478_,3.1µm
_2495_,3.1µm
_3013_,3.1µm
_3042_,3.1µm
_0037_,3.08µm
_0107_,3.08µm
_0381_,3.08µm
_0833_,3.08µm
_0934_,3.08µm
_1205_,3.08µm
_1397_,3.08µm
_1666_,3.08µm
_1677_,3.08µm
_1678_,3.08µm
_1693_,3.08µm
_1726_,3.08µm
_1922_,3.08µm
_2012_,3.08µm
_2187_,3.08µm
_2188_,3.08µm
_2386_,3.08µm
_2409_,3.08µm
_2692_,3.08µm
_2825_,3.08µm
_2859_,3.08µm
net318,3.08µm
net388,3.08µm
_0390_,3.06µm
_0759_,3.06µm
_2202_,3.06µm
_2510_,3.06µm
_2239_,3.05µm
_0817_,2.98µm
_2266_,2.98µm
_0212_,2.96µm
_0548_,2.96µm
_0918_,2.96µm
_1593_,2.96µm
_1618_,2.96µm
_1738_,2.96µm
_2157_,2.96µm
_2218_,2.96µm
_2242_,2.96µm
_2243_,2.96µm
_2251_,2.96µm
_2267_,2.96µm
_2297_,2.96µm
_2618_,2.96µm
_2715_,2.96µm
_2987_,2.96µm
_0006_,2.84µm
_0334_,2.84µm
core.u_fetch.next_pc\[11\],2.84µm
core.u_fetch.next_pc\[15\],2.84µm
_1065_,2.76µm
_1344_,2.76µm
_2555_,2.76µm
_2641_,2.76µm
_2779_,2.76µm
core.u_fetch.next_pc\[10\],2.76µm
_0472_,2.755µm
_0016_,2.74µm
_0057_,2.74µm
_0062_,2.74µm
_1549_,2.74µm
core.u_fetch.next_pc\[3\],2.74µm
_2361_,2.72µm
_0148_,2.64µm
_1189_,2.64µm
_1269_,2.64µm
_1554_,2.64µm
_1707_,2.64µm
_2199_,2.64µm
_2223_,2.64µm
_2462_,2.64µm
_2703_,2.64µm
_2914_,2.64µm
_0143_,2.62µm
_0186_,2.62µm
_0683_,2.62µm
_0748_,2.62µm
_0949_,2.62µm
_0970_,2.62µm
_1283_,2.62µm
_1686_,2.62µm
_2013_,2.62µm
_2164_,2.62µm
_2176_,2.62µm
_2189_,2.62µm
_2196_,2.62µm
_2198_,2.62µm
_2227_,2.62µm
_2247_,2.62µm
_2322_,2.62µm
_2327_,2.62µm
_2357_,2.62µm
_2847_,2.62µm
core.u_fetch.next_pc\[19\],2.62µm
dsp.u_mac.acc_reg\[18\],2.62µm
_0114_,2.525µm
_0357_,2.52µm
_1087_,2.52µm
_1356_,2.52µm
_1760_,2.52µm
core.u_fetch.next_pc\[12\],2.52µm
core.u_fetch.next_pc\[6\],2.52µm
net14,2.52µm
net15,2.52µm
net383,2.52µm
_0033_,2.5µm
_0105_,2.5µm
_0631_,2.5µm
_0766_,2.5µm
_0910_,2.5µm
_0936_,2.5µm
_1012_,2.5µm
_1070_,2.5µm
_1162_,2.5µm
_1561_,2.5µm
_1753_,2.5µm
_2193_,2.5µm
_2203_,2.5µm
_2212_,2.5µm
_2214_,2.5µm
_2252_,2.5µm
_2255_,2.5µm
_2279_,2.5µm
_2675_,2.5µm
_2857_,2.5µm
net392,2.5µm
_2801_,2.4µm
_2816_,2.4µm
_1470_,2.38µm
_1634_,2.38µm
_2842_,2.38µm
_0051_,2.305µm
_0063_,2.3µm
_0647_,2.3µm
_1317_,2.3µm
_1696_,2.3µm
_1700_,2.3µm
_2276_,2.3µm
core.u_fetch.next_pc\[21\],2.3µm
core.u_fetch.next_pc\[22\],2.3µm
net389,2.3µm
net393,2.3µm
net407,2.3µm
core.u_fetch.next_pc\[7\],2.28µm
_0032_,2.18µm
_0182_,2.18µm
_0426_,2.18µm
_0763_,2.18µm
_0770_,2.18µm
_0903_,2.18µm
_1005_,2.18µm
_1207_,2.18µm
_2082_,2.18µm
_2102_,2.18µm
_2142_,2.18µm
_2201_,2.18µm
_2219_,2.18µm
_2245_,2.18µm
_2296_,2.18µm
_2497_,2.18µm
_2585_,2.18µm
_2624_,2.18µm
_2635_,2.18µm
_2743_,2.18µm
_2810_,2.18µm
_2813_,2.18µm
_2990_,2.18µm
_0008_,2.16µm
_0122_,2.16µm
_0184_,2.16µm
_0308_,2.16µm
_0340_,2.16µm
_0566_,2.16µm
_0570_,2.16µm
_0641_,2.16µm
_0940_,2.16µm
_0958_,2.16µm
_0976_,2.16µm
_1103_,2.16µm
_1116_,2.16µm
_1196_,2.16µm
_1257_,2.16µm
_1272_,2.16µm
_1286_,2.16µm
_1296_,2.16µm
_1523_,2.16µm
_1600_,2.16µm
_1756_,2.16µm
_1767_,2.16µm
_2021_,2.16µm
_2057_,2.16µm
_2262_,2.16µm
_2299_,2.16µm
_2302_,2.16µm
_2677_,2.16µm
_2678_,2.16µm
_2746_,2.16µm
_3051_,2.16µm
core.u_fetch.next_pc\[4\],2.16µm
net10,2.16µm
_1214_,2.06µm
_1619_,2.06µm
_1900_,2.06µm
_2143_,2.06µm
_2229_,2.06µm
_2244_,2.06µm
_2274_,2.06µm
_2434_,2.06µm
_0388_,2.04µm
_0393_,2.04µm
_0461_,2.04µm
_0523_,2.04µm
_0808_,2.04µm
_0840_,2.04µm
_1014_,2.04µm
_1323_,2.04µm
_1367_,2.04µm
_1579_,2.04µm
_1659_,2.04µm
_1862_,2.04µm
_2047_,2.04µm
_2190_,2.04µm
_2283_,2.04µm
_2501_,2.04µm
_2944_,2.04µm
net261,2.04µm
net259,1.93µm
_0044_,1.845µm
_0003_,1.84µm
_0015_,1.84µm
_0020_,1.84µm
_0021_,1.84µm
_0026_,1.84µm
_0028_,1.84µm
_0036_,1.84µm
_0038_,1.84µm
_0045_,1.84µm
_0049_,1.84µm
_0053_,1.84µm
_0060_,1.84µm
_1748_,1.84µm
_2150_,1.84µm
_2285_,1.84µm
_2360_,1.84µm
_2599_,1.84µm
net406,1.84µm
_0019_,1.82µm
_0040_,1.82µm
_0041_,1.82µm
_0236_,1.82µm
_0385_,1.82µm
_3054_,1.82µm
core.u_fetch.next_pc\[17\],1.82µm
net379,1.82µm
_2286_,1.78µm
_0798_,1.72µm
_1008_,1.72µm
_1110_,1.72µm
_1558_,1.72µm
_2040_,1.72µm
_2310_,1.72µm
net263,1.72µm
net412,1.72µm
_0009_,1.7µm
_0013_,1.7µm
_0025_,1.7µm
_0070_,1.7µm
_0111_,1.7µm
_0129_,1.7µm
_0137_,1.7µm
_0379_,1.7µm
_0483_,1.7µm
_0504_,1.7µm
_0583_,1.7µm
_0658_,1.7µm
_1199_,1.7µm
_1596_,1.7µm
_1638_,1.7µm
_1907_,1.7µm
_2010_,1.7µm
_2018_,1.7µm
_2078_,1.7µm
_2197_,1.7µm
_2206_,1.7µm
_2353_,1.7µm
_2485_,1.7µm
_2621_,1.7µm
_2759_,1.7µm
_2838_,1.7µm
_2851_,1.7µm
_2955_,1.7µm
_2969_,1.7µm
_2995_,1.7µm
_3019_,1.7µm
net3,1.7µm
net274,1.7µm
net316,1.7µm
net268,1.605µm
net258,1.6µm
_0326_,1.48µm
_2745_,1.48µm
_2938_,1.48µm
_0825_,1.38µm
_0995_,1.38µm
_1113_,1.38µm
_1267_,1.38µm
_1505_,1.38µm
_1681_,1.38µm
_2293_,1.38µm
_2470_,1.38µm
_2829_,1.38µm
_3000_,1.38µm
_3030_,1.38µm
net336,1.38µm
_0005_,1.36µm
_0007_,1.36µm
_0024_,1.36µm
_0031_,1.36µm
_0058_,1.36µm
core.u_fetch.next_pc\[23\],1.36µm
_2109_,1.26µm
_2268_,1.26µm
_2280_,1.26µm
_2319_,1.26µm
_2320_,1.26µm
_2331_,1.26µm
_2707_,1.26µm
core.u_regfile.registers\[2\]\[18\],1.26µm
net289,1.26µm
_0175_,1.14µm
_0369_,1.14µm
_0543_,1.14µm
_0812_,1.14µm
_2179_,1.14µm
_2733_,1.1µm
_2604_,1.02µm
_0099_,0.92µm
_0524_,0.92µm
_1709_,0.92µm
_1952_,0.92µm
_2044_,0.92µm
_2054_,0.92µm
_2308_,0.92µm
_2316_,0.92µm
_2344_,0.92µm
_2416_,0.92µm
_2459_,0.92µm
_2493_,0.92µm
_2589_,0.92µm
_2605_,0.92µm
_2646_,0.92µm
_2683_,0.92µm
_2721_,0.92µm
_2754_,0.92µm
_2902_,0.92µm
_2962_,0.92µm
net409,0.92µm
core.u_regfile.registers\[2\]\[20\],0.8µm
_0587_,0.46µm
_1241_,0.46µm
_1308_,0.46µm
_1373_,0.46µm
_1516_,0.46µm
_1533_,0.46µm
_1844_,0.46µm
_1909_,0.46µm
_2135_,0.46µm
_2413_,0.46µm
_2798_,0.46µm
